Offset(P),Proto,Local Address,Foreign Address,State,Pid,Owner,Created
0x8c88b434dcb0,TCPv4,172.16.6.11:50254,172.16.4.10:8080,CLOSE_WAIT,9036,WinStore.App.e,2018-08-30 13:59:47 UTC+0000
0x8c88b4abe4c0,TCPv4,172.16.6.11:50258,172.16.4.10:8080,CLOSE_WAIT,9036,WinStore.App.e,2018-08-30 13:59:47 UTC+0000
0x8c88b53060f0,UDPv6,::1:1900,*:*,,9088,svchost.exe,2018-08-30 13:55:00 UTC+0000
0x8c88b56eda10,TCPv4,0.0.0.0:3262,0.0.0.0:0,LISTENING,1096,subject_srv.ex,2018-09-06 18:28:32 UTC+0000
0x8c88b56eda10,TCPv6,:::3262,:::0,LISTENING,1096,subject_srv.ex,2018-09-06 18:28:32 UTC+0000
0x8c88b54bd6d0,TCPv4,172.16.6.11:3262,172.16.5.50:39372,ESTABLISHED,1096,subject_srv.ex,2018-09-06 18:51:51 UTC+0000
0x8c88b5bc1b30,UDPv4,127.0.0.1:63646,*:*,,8128,OUTLOOK.EXE,2018-08-30 13:54:28 UTC+0000
0x8c88b5b1a010,TCPv4,172.16.6.11:56345,172.16.4.4:389,CLOSED,8128,OUTLOOK.EXE,2018-08-30 21:28:02 UTC+0000
0x8c88b5bfa1a0,TCPv4,80.16.6.11:63848,172.16.4.5:3389,CLOSED,8260,p.exe,2018-09-05 11:38:32 UTC+0000
0x8c88b675a9c0,TCPv4,172.16.6.11:63823,172.16.4.5:3389,CLOSED,8260,p.exe,2018-09-05 11:34:17 UTC+0000
0x8c88b68f5480,TCPv4,172.16.6.11:63841,172.16.4.5:3389,CLOSED,8260,p.exe,2018-09-05 11:37:38 UTC+0000
0x8c88b761a900,TCPv4,172.16.6.11:63835,172.16.4.5:3389,CLOSED,8260,p.exe,2018-09-05 11:36:47 UTC+0000
0x8c88b7647470,TCPv4,172.16.6.11:445,172.16.6.14:65368,ESTABLISHED,4,System,2018-09-05 11:28:54 UTC+0000
0x8c88b7c04010,TCPv4,172.16.6.11:63931,172.16.4.10:8080,CLOSED,7804,OneDrive.exe,2018-09-06 15:21:04 UTC+0000
0x8c88b7e03010,TCPv4,172.16.6.11:49790,172.16.4.10:8080,CLOSED,7804,OneDrive.exe,2018-09-06 18:57:09 UTC+0000
0x8c88b7f274c0,TCPv4,172.16.6.11:49787,172.16.4.10:8080,ESTABLISHED,7804,OneDrive.exe,2018-09-06 18:57:05 UTC+0000
0x8c88b7f29a40,TCPv4,172.16.6.11:49360,52.16.55.11:443,CLOSED,4456540,"0d?""",???       
0x8c88b8330010,TCPv4,172.16.6.11:49735,172.16.4.10:8080,CLOSED,7352,backgroundTask,2018-09-06 18:54:34 UTC+0000
0x8c88b8439cb0,TCPv4,172.16.6.11:65294,172.16.5.20:443,CLOSED,2184,masvc.exe,2018-09-06 17:57:55 UTC+0000
0x8c88b8479cb0,TCPv4,172.16.6.11:49791,172.16.5.21:5985,CLOSED,1100,svchost.exe,2018-09-06 18:57:13 UTC+0000
0x8c88b9076010,TCPv4,172.16.6.11:49786,172.16.4.10:8080,ESTABLISHED,7804,OneDrive.exe,2018-09-06 18:57:04 UTC+0000
0xa68000045cb0,TCPv4,0.0.0.0:49666,0.0.0.0:0,LISTENING,556,svchost.exe,2018-08-30 13:52:22 UTC+0000
0xa680000bb350,TCPv4,0.0.0.0:49665,0.0.0.0:0,LISTENING,848,svchost.exe,2018-08-30 13:52:22 UTC+0000
0xa680000bb4a0,TCPv4,0.0.0.0:49665,0.0.0.0:0,LISTENING,848,svchost.exe,2018-08-30 13:52:22 UTC+0000
0xa680000bb4a0,TCPv6,:::49665,:::0,LISTENING,848,svchost.exe,2018-08-30 13:52:22 UTC+0000
0xa68000110940,TCPv4,0.0.0.0:3389,0.0.0.0:0,LISTENING,652,svchost.exe,2018-08-30 13:52:22 UTC+0000
