TreeDepth,PID,Process,SID,Name
0,1388,mfevtps.exe,S-1-5-32-544,Administrators
0,1388,mfevtps.exe,S-1-1-0,Everyone
0,1388,mfevtps.exe,S-1-5-11,Authenticated Users
0,1388,mfevtps.exe,S-1-16-16384,System Mandatory Level
0,2572,FireTray.exe,S-1-5-18,Local System
0,2572,FireTray.exe,S-1-5-32-544,Administrators
0,2572,FireTray.exe,S-1-1-0,Everyone
0,2572,FireTray.exe,S-1-5-11,Authenticated Users
0,2572,FireTray.exe,S-1-16-16384,System Mandatory Level
0,3232,mfeann.exe,S-1-5-18,Local System
0,3232,mfeann.exe,S-1-5-32-544,Administrators
0,3232,mfeann.exe,S-1-1-0,Everyone
0,3232,mfeann.exe,S-1-5-11,Authenticated Users
0,3232,mfeann.exe,S-1-16-16384,System Mandatory Level
0,3248,conhost.exe,S-1-5-18,Local System
0,3248,conhost.exe,S-1-5-32-544,Administrators
0,3248,conhost.exe,S-1-1-0,Everyone
0,3248,conhost.exe,S-1-5-11,Authenticated Users
0,3248,conhost.exe,S-1-16-16384,System Mandatory Level
0,3552,svchost.exe,S-1-5-18,Local System
0,3552,svchost.exe,S-1-16-16384,System Mandatory Level
0,3552,svchost.exe,S-1-1-0,Everyone
0,3552,svchost.exe,S-1-5-32-545,Users
0,3552,svchost.exe,S-1-5-6,Service
0,3552,svchost.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,3552,svchost.exe,S-1-5-11,Authenticated Users
0,3552,svchost.exe,S-1-5-15,This Organization
0,3552,svchost.exe,S-1-5-80-3369530244-1263555520-1552818992-544823788-1590281562,-
0,3552,svchost.exe,S-1-5-80-2744483880-3889877944-846434063-3461941807-3140553215,-
0,3552,svchost.exe,S-1-5-80-4118144674-975173503-976751360-2062754009-4288402176,-
0,3552,svchost.exe,S-1-5-80-1385144741-1362966867-180516107-799844779-105018228,-
0,3552,svchost.exe,S-1-5-80-1874328037-1620432936-4113708365-722077214-3851787529,-
0,3552,svchost.exe,S-1-5-5-0-202460,Logon Session
0,3552,svchost.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,3552,svchost.exe,S-1-5-32-544,Administrators
0,3584,mfevtps.exe,S-1-5-18,Local System
0,3584,mfevtps.exe,S-1-5-32-544,Administrators
0,3584,mfevtps.exe,S-1-1-0,Everyone
0,3584,mfevtps.exe,S-1-5-11,Authenticated Users
0,3584,mfevtps.exe,S-1-16-16384,System Mandatory Level
0,3756,macompatsvc.ex,S-1-5-18,Local System
0,3756,macompatsvc.ex,S-1-5-32-544,Administrators
0,3756,macompatsvc.ex,S-1-1-0,Everyone
0,3756,macompatsvc.ex,S-1-5-11,Authenticated Users
0,3756,macompatsvc.ex,S-1-16-16384,System Mandatory Level
0,3948,mfemactl.exe,S-1-5-18,Local System
0,3948,mfemactl.exe,S-1-5-32-544,Administrators
0,3948,mfemactl.exe,S-1-1-0,Everyone
0,3948,mfemactl.exe,S-1-5-11,Authenticated Users
0,3948,mfemactl.exe,S-1-16-16384,System Mandatory Level
