TreeDepth,PID,Process,Args
0,1892,mcshield.exe,"""C:\Program Files\Common Files\McAfee\SystemCore\mcshield.exe"""
0,4332,msdtc.exe,"C:\WINDOWS\System32\msdtc.exe"
0,2860,OfficeClickToR,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
0,5252,AppVShNotify.e,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe"""
0,5544,sihost.exe,sihost.exe
0,5576,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
0,5644,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
0,5832,ctfmon.exe,"""ctfmon.exe"""
0,5952,userinit.exe,Required memory at 0xb1c78eb020 is not valid (process exited?)
0,5988,explorer.exe,"C:\WINDOWS\Explorer.EXE"
0,660,ShellExperienc,"""C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca"
0,5808,SearchUI.exe,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca"
0,5132,RuntimeBroker.,"C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,6664,backgroundTask,Required memory at 0xe814379020 is not valid (process exited?)
0,7136,RuntimeBroker.,"C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,6800,backgroundTask,Required memory at 0x22f5cee020 is not valid (process exited?)
0,7096,officebackgrou,Required memory at 0x41c020 is not valid (process exited?)
0,3964,SkypeHost.exe,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1815.210.0_x64__kzf8qxf38zg5c\SkypeHost.exe"" -ServerName:SkypeHost.ServerServer"
0,8,backgroundTask,Required memory at 0x5cdfc66020 is not valid (process exited?)
0,7080,HxTsr.exe,Required memory at 0x3e9604d020 is not valid (process exited?)
0,7444,backgroundTask,Required memory at 0x17a375d020 is not valid (process exited?)
0,7656,backgroundTask,Required memory at 0x981d04e020 is not valid (process exited?)
0,7676,MSASCuiL.exe,"""C:\Program Files\Windows Defender\MSASCuiL.exe"" "
0,7752,vmtoolsd.exe,"""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr"
0,7804,OneDrive.exe,"""C:\Users\tdungan\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background"
0,7868,Dashlane.exe,"""C:\Users\tdungan\AppData\Roaming\Dashlane\Dashlane.exe"" autoLaunchAtStartup"
0,7892,DashlanePlugin,"""C:\Users\tdungan\AppData\Roaming\Dashlane\DashlanePlugin.exe"" ws"
0,7944,runonce.exe,Required memory at 0x2e98020 is not valid (process exited?)
0,8128,OUTLOOK.EXE,"""C:\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE"" /restore"
0,6036,UpdaterUI.exe,"""C:\Program Files\McAfee\Agent\x86\UpdaterUI.exe"" /StartedFromRunKey"
0,4384,backgroundTask,Required memory at 0xe2747a0020 is not valid (process exited?)
0,7392,shstat.exe,Required memory at 0x15ad020 is not valid (process exited?)
0,2284,mctray.exe,/load
0,9152,iexplore.exe,"""C:\Program Files\Internet Explorer\iexplore.exe"" -startmanager -Embedding"
0,8508,iexplore.exe,"""C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE"" SCODEF:9152 CREDAT:9474 /prefetch:2"
0,9088,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
0,7236,SearchIndexer.,"C:\WINDOWS\system32\SearchIndexer.exe /Embedding"
0,5492,RuntimeBroker.,"C:\Windows\System32\RuntimeBroker.exe -Embedding"
